Wall time,Step,Value
1510779398.4932535,27154,104.40608978271484
1510779398.8282108,27158,105.86146545410156
1510779398.9346437,27159,102.52339172363281
1510779408.8964097,27274,105.57573699951172
1510779426.2109432,27505,105.64938354492188
1510779434.372183,27603,101.92767333984375
1510779435.697475,27620,102.42793273925781
1510779437.0016947,27638,105.55685424804688
1510779451.8189356,27825,107.47569274902344
1510779458.3134098,27916,108.93988037109375
1510779460.7459316,27950,106.6484375
1510779462.1330056,27968,105.31791687011719
1510779488.4254048,28321,101.93879699707031
1510779497.0327058,28438,107.75891876220703
1510779498.1984076,28451,103.38987731933594
1510779505.8452709,28543,103.36087799072266
1510779508.2934136,28572,106.00660705566406
1510779511.1633418,28611,103.04822540283203
1510779537.7685568,28970,104.74774932861328
1510779539.617189,28996,107.0602035522461
1510779542.6524055,29037,102.48412322998047
1510779544.4449337,29062,105.08819580078125
1510779555.064971,29201,107.82067108154297
1510779559.7144914,29263,103.07731628417969
1510779576.299512,29471,104.6940689086914
1510779577.5923772,29487,102.3475570678711
1510779583.1446435,29561,104.01322174072266
1510779586.9097486,29611,113.23441314697266
1510779597.6507816,29747,103.17249298095703
1510779603.7670155,29829,104.6437759399414
1510779617.5883422,30005,103.66410064697266
1510779619.5216606,30031,105.5283432006836
1510779624.1283088,30092,105.12496185302734
1510779630.2157688,30174,104.75213623046875
1510779635.3471556,30243,107.27438354492188
1510779638.3747592,30284,104.78683471679688
1510779641.4574163,30327,103.97904205322266
1510779651.4638093,30459,107.89815521240234
1510779652.2256818,30470,103.02218627929688
1510779662.6277752,30612,106.67461395263672
1510779669.4092064,30706,106.3164291381836
1510779670.4433496,30720,105.80415344238281
1510779723.4119236,31406,103.05830383300781
1510779727.0665753,31443,102.63276672363281
1510779746.9844995,31696,108.31857299804688
1510779755.497421,31808,104.09014129638672
1510779760.119774,31873,105.23101043701172
1510779760.6196861,31880,101.99193572998047
1510779764.8359132,31936,103.88602447509766
1510779765.4899507,31945,105.21424102783203
1510779769.8858829,32004,107.2796859741211
1510779770.841562,32017,105.08698272705078
1510779782.1858335,32174,105.6497573852539
1510779784.6411994,32207,104.3880386352539
1510779801.189713,32435,104.10552978515625
1510779808.9734118,32542,105.2698745727539
1510779817.6497817,32657,106.27192687988281
1510779821.3537807,32706,104.58614349365234
1510779825.598494,32762,106.91011810302734
1510779835.0552168,32894,102.63062286376953
1510779835.6498847,32902,105.27950286865234
1510779845.1730728,33034,105.70796203613281
1510779854.0965097,33152,105.71186828613281
1510779856.0996385,33179,105.2798080444336
1510779856.2648911,33181,104.4625244140625
1510779863.4587152,33271,105.20113372802734
1510779868.7421737,33341,104.79859924316406
1510779871.2733157,33375,104.02202606201172
1510779873.3019896,33403,105.36831665039062
1510779897.2057264,33728,106.94783782958984
1510779897.8996575,33737,105.18032836914062
1510779898.8156273,33749,111.38219451904297
